Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
AFC,AFC West,SD,REG,1,University of Phoenix Stadium,63400,turf,retractable_dome,100,Partly Cloudy ,29,7,SW,15,9,5,1,15,6,40,4,2,0,1,0,0,0,0,0,60,290,4.833,24,52,2.167,36,21,6.611,1,0,238,238,0,17,2,17,0,0,0,0,4,4,1,6,39.333,0,36,6,47,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,50,1,1,100,0,1,17,28:11,L
AFC,AFC North,BAL,REG,2,M&T Bank Stadium,71008,artificial,outdoor,81,Overcast ,79,0,N,25,11,9,5,12,5,41.667,4,1,0,1,1,100,0,1,0,65,323,4.969,36,157,4.361,29,21,5.724,0,0,166,166,0,60,2,47,0,0,1,13,7,6,6,2,55,0,48.5,4,35,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,4,4,0,6,2,33.333,5,2,40,0,0,26,35:08,L
AFC,AFC North,PIT,REG,2,M&T Bank Stadium,71008,artificial,outdoor,81,Overcast ,79,0,N,17,11,5,1,12,6,50,5,1,0,0,0,0,0,0,0,57,301,5.281,18,99,5.5,37,22,5.179,1,2,202,217,15,13,2,13,1,11,0,0,3,3,3,4,45.75,0,34,9,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,3,6,24:52,W
AFC,AFC South,TEN,REG,2,LP Field,69143,turf,outdoor,70,Partly Cloudy ,60,4,NNW,13,9,4,0,10,2,20,2,0,0,1,0,0,0,0,0,49,314,6.408,13,82,6.308,34,18,6.444,2,2,232,234,2,0,0,0,5,68,0,0,3,3,3,5,45,0,38,5,35,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,2,10,18:49,L
NFC,NFC East,DAL,REG,2,LP Field,69143,turf,outdoor,70,Partly Cloudy ,60,4,NNW,26,10,13,3,16,9,56.25,6,3,0,0,0,0,0,0,0,76,368,4.842,43,220,5.116,29,19,4.485,0,4,148,176,28,19,1,15,0,0,2,4,7,3,2,4,55,0,45,4,25,1,1,2,1,1,0,0,0,0,0,2,2,0,0,0,4,4,0,3,2,66.667,1,1,100,0,1,26,41:11,W
NFC,NFC South,CAR,REG,2,Bank of America Stadium,73778,turf,outdoor,68,Overcast ,60,8,NE,20,14,3,3,12,3,25,3,0,0,0,0,0,0,0,0,62,313,5.048,24,62,2.583,34,22,6.605,0,4,251,281,30,31,2,8,0,0,1,23,6,6,5,6,44.833,0,36.167,4,45,0,0,2,1,1,0,0,0,0,0,1,1,0,1,1,3,3,0,4,2,50,2,2,100,0,0,24,29:19,L
NFC,NFC North,DET,REG,2,Bank of America Stadium,73778,turf,outdoor,68,Overcast ,60,8,NE,21,18,2,1,15,6,40,6,0,0,2,1,50,1,0,0,70,323,4.614,18,70,3.889,48,27,4.865,1,4,253,291,38,52,3,52,1,33,0,0,2,2,2,5,46.6,0,41,5,33,3,2,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,100,1,1,100,0,3,7,30:41,W
AFC,AFC East,BUF,REG,2,Ralph Wilson Stadium,73079,artificial,outdoor,59,Partly Cloudy ,55,0,NE,13,10,3,0,15,5,33.333,5,0,0,0,0,0,0,0,0,59,315,5.339,33,113,3.424,26,16,7.769,0,0,202,202,0,17,2,16,3,136,1,1,8,7,5,4,33.5,0,31.75,6,40,0,0,2,1,0,0,0,0,1,0,2,2,0,0,0,6,5,0,6,1,16.667,1,0,0,0,0,29,28:43,W
AFC,AFC East,MIA,REG,2,Ralph Wilson Stadium,73079,artificial,outdoor,59,Partly Cloudy ,55,0,NE,23,16,4,3,16,5,31.25,3,2,0,4,1,25,1,0,0,74,290,3.919,21,80,3.81,49,31,3.962,1,4,210,241,31,7,2,7,3,57,0,0,3,2,0,5,33.167,1,30.5,3,20,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,1,50,0,0,0,0,2,10,31:17,L
NFC,NFC North,MIN,REG,2,TCF Bank Stadium,52000,artificial,outdoor,,,,,,17,9,3,5,11,4,36.364,3,1,0,1,0,0,0,0,0,61,217,3.557,19,54,2.842,36,19,3.881,4,6,163,202,39,11,1,11,3,49,0,0,2,2,2,5,45.6,0,32.4,7,58,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4,7,28:26,W
AFC,AFC East,NE,REG,2,TCF Bank Stadium,52000,artificial,outdoor,,,,,,16,9,5,2,14,5,35.714,3,2,0,1,0,0,0,0,0,59,292,4.949,37,150,4.054,21,14,6.455,0,1,142,149,7,126,4,66,0,0,4,60,7,5,4,5,42.2,0,40,15,163,1,0,3,1,1,0,0,0,0,0,3,3,0,0,0,3,3,0,4,2,50,2,2,100,0,0,30,31:34,L
